T	20E-06		4E-06
V	5.07		1
T	18E-06		4E-06
V	4.55		1
T	16E-06		2E-06
V	4.06		1
T	14E-06		2E-06
V	3.56		1
T	12E-06		2E-06
V	3.08		1
T	10E-06		2E-06
V	2.62		0.5
T	9E-06		2E-06
V	2.38		0.5
T	8E-06		2E-06
V	2.14		0.5
T	7E-06		0.8E-06
V	1.9		0.5
T	6E-06		0.8E-06
V	1.665		0.5
T	5E-06		0.8E-06
V	1.41		0.5
T	4E-06		0.8E-06
V	1.166		0.2
T	3E-06		0.4E-06
V	0.926		0.2
T	2E-06		0.4E-06
V	0.682		0.2
T	1.5E-06		0.2E-06
V	0.557		0.1
T	1E-06		0.2E-06
V	0.438		0.1	
T	0.5E-06		0.1E-06
V	0.317		0.1
T	0.3E-06		0.1E-06
V	0.27		0.1
T	0.2E-06		0.04E-06
V	0.246		0.05
T	0.1E-06		0.04E-06
V	0.2215		0.05
T	0.06E-06	0.02E-06
V	0.211		0.05
