T	20E-06		4E-06
V	4.67		1
T	19E-06		4E-06
V	4.44		1
T	18E-06		4E-06
V	4.19		1
T	17E-06		4E-06
V	3.93		1
T	16E-06		4E-06
V	3.71		1
T	15E-06		2E-06
V	3.48		1
T	13E-06		2E-06
V	2.99		1
T	11E-06		2E-06
V	2.535		0.5
T	9E-06		2E-06
V	2.07		0.5
T	7E-06		2E-06
V	1.58		0.5
T	5E-06		0.8E-06
V	1.086		0.2
T	3E-06		0.8E-06
V	0.592		0.2
T	2E-06		0.4E-06
V	0.352		0.1
T	1.5E-06		0.4E-06
V	0.2315		0.05
T	1E-06		0.2E-06
V	0.114		0.02
T	0.9E-06		0.2E-06
V	0.0892		0.02
T	0.8E-06		0.2E-06
V	0.0658		0.02
T	0.668E-06	0.2E-06
V	0.032		0.02
