5
3
1890
1961	1	146	139	126	125
1902	1	151	150	135	128
1882	1	157	153	133	123
1868	1	148	140	172	170
1832	1	1	1	125	119
1800	1	1	1	124	74
1776	1	123	120	140	23
1848	1	173	165	151	147
1791	1	127	123	148	69
1931	1	159	156	132	123
1881	1	1	1	142	135
1823	1	152	149	130	118
1760	1	151	145	1	1
1740	1	148	63	1	1
1730	1	155	44	1	1
1750	1	132	82	1	1
1870	1	1	1	498	484
1887	1	1	1	257	254
1899	1	1	1	223	220
1750	4930	1	1	1	1
1776	6545	1	1	1	1
1791	10255	1	1	1	1
1823	23260	1	1	1	1
1848	31915	1	1	1	1
1868	42250	1	1	1	1
1882	50390	1	1	1	1
1902	72765	1	1	1	1
1931	98685	1	1	1	1
1961	157765	1	1	1	1
